age	score
12.000000	-27.574711
12.000000	-14.035037
14.000000	-13.406520
14.000000	-20.246012
15.000000	-20.208975
15.000000	-15.734248
17.000000	-16.349873
17.000000	-15.295397
17.000000	-43.646996
17.000000	-28.249058
17.000000	-15.446960
17.000000	-13.031573
18.000000	-26.731953
18.000000	-14.595639
18.000000	-18.992229
18.000000	-26.771891
18.000000	-20.606094
18.000000	-23.431644
18.000000	-2.833847
18.000000	-10.520519
19.000000	-14.720939
19.000000	-16.570940
20.000000	-11.926428
20.000000	-3.516786
20.000000	0.754302
20.000000	-10.542088
20.000000	-19.099516
20.000000	-6.676167
20.000000	-8.069077
20.000000	-3.743054
20.000000	-18.183971
20.000000	-22.295538
20.000000	-16.074776
20.000000	-22.681147
20.000000	-11.000864
20.000000	-16.423435
20.000000	-12.167715
20.000000	-8.905948
20.000000	-2.560877
20.000000	-13.480146
21.000000	-0.018863
21.000000	-8.039316
21.000000	-20.157322
21.000000	-17.761406
21.000000	-3.347311
21.000000	-4.591168
21.000000	-11.860643
21.000000	-20.470467
21.000000	-12.076950
21.000000	-29.540815
21.000000	-11.961660
21.000000	-11.909336
21.000000	-18.218403
21.000000	-14.876417
21.000000	7.452707
21.000000	2.478061
21.000000	-10.626238
21.000000	-15.158968
21.000000	-11.299226
21.000000	-5.800114
21.000000	-8.925683
21.000000	-10.014811
22.000000	-9.465984
22.000000	-10.917045
22.000000	-10.099272
22.000000	-15.925803
22.000000	-3.209276
22.000000	-11.481466
22.000000	10.162496
22.000000	5.773169
22.000000	-2.848969
22.000000	3.746840
22.000000	-25.986168
22.000000	-23.756134
22.000000	-2.157458
22.000000	2.127174
22.000000	-15.595113
22.000000	-19.260939
22.000000	-6.920402
22.000000	-10.866988
22.000000	-3.009717
22.000000	-9.857420
22.000000	-11.662113
22.000000	-4.519099
22.000000	-4.850976
22.000000	-13.349719
22.000000	-11.390217
22.000000	-6.629891
22.000000	-3.987400
22.000000	-1.966363
22.000000	0.212903
22.000000	-1.112695
22.000000	-9.002565
22.000000	-0.693863
23.000000	-16.975719
23.000000	-13.503413
23.000000	-12.334436
23.000000	3.028911
23.000000	-8.089869
23.000000	-15.916527
23.000000	-6.762523
23.000000	-9.525633
23.000000	-14.028595
23.000000	-10.357380
23.000000	-6.494713
23.000000	-15.351866
23.000000	2.038233
23.000000	-10.592422
23.000000	-8.029621
23.000000	-7.308906
23.000000	-3.278270
23.000000	-4.054101
23.000000	-22.650057
23.000000	-19.898300
23.000000	1.641515
23.000000	-8.094648
23.000000	-13.811524
23.000000	-13.474340
23.000000	-6.145694
23.000000	-5.683865
23.000000	-18.115622
23.000000	-10.806439
23.000000	-6.413914
23.000000	-11.380693
24.000000	-16.953096
24.000000	-13.416751
24.000000	-5.993509
24.000000	-4.247251
24.000000	-10.397087
24.000000	-10.515542
24.000000	-18.245514
24.000000	-30.329004
24.000000	-11.458899
24.000000	-9.933517
24.000000	1.749413
24.000000	-1.233807
24.000000	-15.471852
24.000000	-8.925650
24.000000	-5.602651
24.000000	-5.720066
24.000000	-9.595814
24.000000	-5.261994
24.000000	-8.627295
24.000000	-11.576879
24.000000	-6.786872
24.000000	-8.416279
24.000000	-7.735800
24.000000	-8.128789
24.000000	-3.041036
24.000000	-4.424115
24.000000	-11.050226
24.000000	-12.597192
24.000000	-15.742688
24.000000	-12.938229
24.000000	-13.212727
24.000000	-12.860416
24.000000	-2.612991
24.000000	-0.552595
24.000000	-6.142670
24.000000	-3.501049
24.000000	-0.015000
24.000000	8.886409
24.000000	-4.046535
24.000000	-7.276890
24.000000	-11.553555
24.000000	-7.850530
24.000000	-17.906525
24.000000	-16.072498
24.000000	-4.670507
24.000000	4.958713
25.000000	-2.877840
25.000000	-8.380269
25.000000	-5.901369
25.000000	-3.076766
25.000000	-18.313835
25.000000	-6.177377
25.000000	-17.077303
25.000000	-14.066482
25.000000	-6.196166
25.000000	-0.047099
25.000000	-5.601408
25.000000	-2.522293
25.000000	1.753193
25.000000	-0.958777
25.000000	-1.696200
25.000000	-2.392186
25.000000	-13.573114
25.000000	-15.456144
25.000000	-14.314028
25.000000	-15.412152
25.000000	-4.198924
25.000000	23.130562
25.000000	-14.587206
25.000000	1.162714
25.000000	-16.919249
25.000000	-4.731114
25.000000	2.235985
25.000000	-1.401808
25.000000	-22.597004
25.000000	-4.589124
25.000000	1.678732
25.000000	-4.388517
25.000000	-1.820187
25.000000	0.157497
25.000000	-15.353357
25.000000	-11.747003
25.000000	-6.086349
25.000000	-5.681338
25.000000	-2.042171
25.000000	1.242294
25.000000	-9.163323
25.000000	-8.400267
25.000000	-1.801926
25.000000	-19.839020
25.000000	-10.613015
25.000000	-5.631613
25.000000	-2.988461
25.000000	-3.023075
26.000000	-4.023293
26.000000	-8.731676
26.000000	-3.694323
26.000000	-1.699915
26.000000	-5.689696
26.000000	0.550476
26.000000	-6.911137
26.000000	-4.317813
26.000000	-12.835163
26.000000	-4.515171
26.000000	-0.519912
26.000000	-5.303957
26.000000	-4.610368
26.000000	-5.260390
26.000000	-11.268945
26.000000	-4.287002
26.000000	-3.821585
26.000000	-1.115115
26.000000	-6.581470
26.000000	-0.552918
26.000000	-9.752214
26.000000	-11.986541
26.000000	-3.863595
26.000000	-14.403627
26.000000	-5.461761
26.000000	-18.664942
26.000000	-4.991645
26.000000	-6.186237
26.000000	-14.202548
26.000000	-10.174172
26.000000	1.276706
26.000000	-17.596748
26.000000	-8.742768
26.000000	-16.944775
26.000000	-1.391382
26.000000	-7.726767
27.000000	-0.515768
27.000000	-15.683249
27.000000	-2.415443
27.000000	-10.551910
27.000000	-1.792221
27.000000	1.254340
27.000000	-8.955909
27.000000	-10.334855
27.000000	-11.736970
27.000000	-13.422586
27.000000	-7.273101
27.000000	-3.838391
27.000000	-9.942320
27.000000	-4.628071
27.000000	-1.542641
27.000000	6.040751
27.000000	-8.158435
27.000000	-6.882183
27.000000	-1.986346
27.000000	-2.285917
27.000000	-3.928685
27.000000	-11.172798
27.000000	-14.981552
27.000000	-10.335271
27.000000	-7.428690
27.000000	-6.023016
27.000000	-26.504913
27.000000	-20.699965
27.000000	-6.064023
27.000000	-1.720369
27.000000	-3.307900
27.000000	-1.243470
27.000000	-5.973156
27.000000	-4.751765
27.000000	-10.965853
27.000000	-2.292959
27.000000	1.921769
27.000000	-6.656539
27.000000	-3.938253
27.000000	-3.809864
27.000000	-3.834975
27.000000	-5.504252
28.000000	-0.145849
28.000000	2.210040
